ãÊï™,ìπòHéÌï ,òHê¸ñºèÃ,îCà”ID,é}ID,éëóøñºèÃ,éëóøîNåé,çsê≠ãÊàÊ,lon_lat,lon,lat
ëÊÇPéüãŸã}óAëóìπòH,4,ìåãûèäëÚê¸,49,1,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.5655676647, 35.7230476854), (139.5653317706, 35.7230731875), (139.5651517706, 35.7230931875), (139.5648417706, 35.7231331875), (139.5639117705, 35.7232531866), (139.5634517715, 35.7233531857), (139.5630617714, 35.7234231857), (139.5627517714, 35.7235131848), (139.5619617723, 35.7237731839), (139.5608517733, 35.724083184), (139.5597817732, 35.7242731831), (139.5592717731, 35.7243631832), (139.558341773, 35.7245431823), (139.557717642, 35.7246569103), (139.5565617729, 35.7248831825), (139.5557917738, 35.7250331816), (139.5551217738, 35.7251631816), (139.5541917737, 35.7253431817), (139.5531117736, 35.7256031809), (139.5525817736, 35.7257531809), (139.5521217745, 35.72588318), (139.5513417745, 35.7261231801), (139.5511017755, 35.7262531801), (139.5506517754, 35.7264831792), (139.5500117764, 35.7268531793), (139.5495217774, 35.7271431783), (139.5486217784, 35.7276431785), (139.5472117803, 35.7284731777), (139.5461217823, 35.7291031768), (139.5457617823, 35.7293131769), (139.5451917833, 35.729653177), (139.5441617843, 35.7302431761), (139.5434917852, 35.7306531762), (139.5433499372, 35.7307631752), (139.5430017862, 35.7309331753), (139.5422617872, 35.7313531754), (139.5414817882, 35.7318031755)]","[139.5655676647, 139.5653317706, 139.5651517706, 139.5648417706, 139.5639117705, 139.5634517715, 139.5630617714, 139.5627517714, 139.5619617723, 139.5608517733, 139.5597817732, 139.5592717731, 139.558341773, 139.557717642, 139.5565617729, 139.5557917738, 139.5551217738, 139.5541917737, 139.5531117736, 139.5525817736, 139.5521217745, 139.5513417745, 139.5511017755, 139.5506517754, 139.5500117764, 139.5495217774, 139.5486217784, 139.5472117803, 139.5461217823, 139.5457617823, 139.5451917833, 139.5441617843, 139.5434917852, 139.5433499372, 139.5430017862, 139.5422617872, 139.5414817882]","[35.7230476854, 35.7230731875, 35.7230931875, 35.7231331875, 35.7232531866, 35.7233531857, 35.7234231857, 35.7235131848, 35.7237731839, 35.724083184, 35.7242731831, 35.7243631832, 35.7245431823, 35.7246569103, 35.7248831825, 35.7250331816, 35.7251631816, 35.7253431817, 35.7256031809, 35.7257531809, 35.72588318, 35.7261231801, 35.7262531801, 35.7264831792, 35.7268531793, 35.7271431783, 35.7276431785, 35.7284731777, 35.7291031768, 35.7293131769, 35.729653177, 35.7302431761, 35.7306531762, 35.7307631752, 35.7309331753, 35.7313531754, 35.7318031755]"
ëÊÇQéüãŸã}óAëóìπòH,4,ìåãûèäëÚê¸,49,4,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.5307994762, 35.7399979912), (139.5308518082, 35.7399731741), (139.5310518082, 35.7398531741), (139.5312718072, 35.7397031741), (139.5323118062, 35.7390131739), (139.5327618062, 35.7387231739), (139.5330718052, 35.7384931738), (139.5331418052, 35.7384531738), (139.5333418052, 35.7382931738), (139.5335718052, 35.7381231737), (139.5339118042, 35.7378431737), (139.5341318042, 35.7376631737), (139.5345118032, 35.7374231736), (139.5351418032, 35.7371431735), (139.5356618033, 35.7369131724), (139.5364418033, 35.7365331723), (139.5365918023, 35.7362031733), (139.5366818013, 35.7360231733), (139.5367518012, 35.7359131733), (139.5368818002, 35.7356631732), (139.5371217982, 35.7352931732), (139.5373717972, 35.7349231731), (139.5376217961, 35.7345931731), (139.5378617951, 35.734253174), (139.5383117931, 35.7337231739), (139.5386117911, 35.7333731739), (139.5388617911, 35.7331431748), (139.5392017901, 35.7329531748), (139.5404917902, 35.7324531746), (139.5405817902, 35.7324231746), (139.5409417892, 35.7322231746), (139.5414817882, 35.7318031755)]","[139.5307994762, 139.5308518082, 139.5310518082, 139.5312718072, 139.5323118062, 139.5327618062, 139.5330718052, 139.5331418052, 139.5333418052, 139.5335718052, 139.5339118042, 139.5341318042, 139.5345118032, 139.5351418032, 139.5356618033, 139.5364418033, 139.5365918023, 139.5366818013, 139.5367518012, 139.5368818002, 139.5371217982, 139.5373717972, 139.5376217961, 139.5378617951, 139.5383117931, 139.5386117911, 139.5388617911, 139.5392017901, 139.5404917902, 139.5405817902, 139.5409417892, 139.5414817882]","[35.7399979912, 35.7399731741, 35.7398531741, 35.7397031741, 35.7390131739, 35.7387231739, 35.7384931738, 35.7384531738, 35.7382931738, 35.7381231737, 35.7378431737, 35.7376631737, 35.7374231736, 35.7371431735, 35.7369131724, 35.7365331723, 35.7362031733, 35.7360231733, 35.7359131733, 35.7356631732, 35.7352931732, 35.7349231731, 35.7345931731, 35.734253174, 35.7337231739, 35.7333731739, 35.7331431748, 35.7329531748, 35.7324531746, 35.7324231746, 35.7322231746, 35.7318031755]"
ëÊÇPéüãŸã}óAëóìπòH,4,êVèhê¬äCê¸,50,1,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.5235237287, 35.7356501945), (139.5237917677, 35.7355831835), (139.5259417709, 35.7350531823), (139.5260417709, 35.7350331823), (139.5262517719, 35.7349731822), (139.5264417719, 35.7349431822), (139.527341773, 35.7347131811), (139.527631773, 35.7346431811), (139.5288417741, 35.7343531809), (139.5313517773, 35.7337331786), (139.5340117795, 35.7330831773), (139.5358917817, 35.7326231771), (139.5367717827, 35.732413176), (139.5375417838, 35.7322231759), (139.5381117838, 35.7320731758), (139.5385517839, 35.7319931758), (139.539981786, 35.7318731756), (139.5404117871, 35.7318531756), (139.5411517871, 35.7317931755), (139.5414817882, 35.7318031755)]","[139.5235237287, 139.5237917677, 139.5259417709, 139.5260417709, 139.5262517719, 139.5264417719, 139.527341773, 139.527631773, 139.5288417741, 139.5313517773, 139.5340117795, 139.5358917817, 139.5367717827, 139.5375417838, 139.5381117838, 139.5385517839, 139.539981786, 139.5404117871, 139.5411517871, 139.5414817882]","[35.7356501945, 35.7355831835, 35.7350531823, 35.7350331823, 35.7349731822, 35.7349431822, 35.7347131811, 35.7346431811, 35.7343531809, 35.7337331786, 35.7330831773, 35.7326231771, 35.732413176, 35.7322231759, 35.7320731758, 35.7319931758, 35.7318731756, 35.7318531756, 35.7317931755, 35.7318031755]"
ëÊÇQéüãŸã}óAëóìπòH,4,êVèhê¬äCê¸,50,4,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.5457617823, 35.7293131769), (139.5452717812, 35.7292731769), (139.5449717812, 35.7292731769), (139.5447117802, 35.729263177), (139.5444406811, 35.729254133), (139.5442033641, 35.729164777), (139.543811777, 35.728973177), (139.543519927, 35.7287831781), (139.5431317759, 35.7288331781), (139.5420317748, 35.7290831782), (139.5415461588, 35.7291895523), (139.5409817748, 35.7293131773), (139.5393117736, 35.7297031775), (139.5378117725, 35.7300531777), (139.5367817724, 35.7302931778), (139.5358217713, 35.7305131789), (139.5356017703, 35.730563179), (139.5354017703, 35.730603179), (139.5350717693, 35.730613179), (139.5348517692, 35.730603179), (139.5342917672, 35.7305531801), (139.533331765, 35.7304431802), (139.5321817609, 35.7303031813), (139.5309617577, 35.7301231824), (139.5290017514, 35.7298431846), (139.5286017504, 35.7298131846), (139.5278417483, 35.7297531857), (139.5267917452, 35.7296931868), (139.5262717441, 35.7296531868), (139.525451742, 35.7296231879), (139.525191742, 35.7296331879), (139.5248317409, 35.729693188), (139.5241317399, 35.7298631891), (139.5235017388, 35.7300131891), (139.5233017378, 35.7300631891), (139.5228017378, 35.7301831902), (139.5221717357, 35.7302531913), (139.5217517347, 35.7302831913), (139.5213717336, 35.7302931914), (139.5204317305, 35.7303131935), (139.5200217295, 35.7303231935), (139.5191217274, 35.7303431946), (139.5187017263, 35.7303631956), (139.5181017243, 35.7303631957), (139.5172617222, 35.7303931968), (139.5167680221, 35.7304037028)]","[139.5457617823, 139.5452717812, 139.5449717812, 139.5447117802, 139.5444406811, 139.5442033641, 139.543811777, 139.543519927, 139.5431317759, 139.5420317748, 139.5415461588, 139.5409817748, 139.5393117736, 139.5378117725, 139.5367817724, 139.5358217713, 139.5356017703, 139.5354017703, 139.5350717693, 139.5348517692, 139.5342917672, 139.533331765, 139.5321817609, 139.5309617577, 139.5290017514, 139.5286017504, 139.5278417483, 139.5267917452, 139.5262717441, 139.525451742, 139.525191742, 139.5248317409, 139.5241317399, 139.5235017388, 139.5233017378, 139.5228017378, 139.5221717357, 139.5217517347, 139.5213717336, 139.5204317305, 139.5200217295, 139.5191217274, 139.5187017263, 139.5181017243, 139.5172617222, 139.5167680221]","[35.7293131769, 35.7292731769, 35.7292731769, 35.729263177, 35.729254133, 35.729164777, 35.728973177, 35.7287831781, 35.7288331781, 35.7290831782, 35.7291895523, 35.7293131773, 35.7297031775, 35.7300531777, 35.7302931778, 35.7305131789, 35.730563179, 35.730603179, 35.730613179, 35.730603179, 35.7305531801, 35.7304431802, 35.7303031813, 35.7301231824, 35.7298431846, 35.7298131846, 35.7297531857, 35.7296931868, 35.7296531868, 35.7296231879, 35.7296331879, 35.729693188, 35.7298631891, 35.7300131891, 35.7300631891, 35.7301831902, 35.7302531913, 35.7302831913, 35.7302931914, 35.7303131935, 35.7303231935, 35.7303431946, 35.7303631956, 35.7303631957, 35.7303931968, 35.7304037028]"
ëÊÇQéüãŸã}óAëóìπòH,4,êôï¿Ç†Ç´ÇÈñÏê¸,52,4,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.561124752, 35.7219858528), (139.561191762, 35.7220131858), (139.561321763, 35.7220431858), (139.561491763, 35.7220731858), (139.5624317652, 35.7222431867), (139.5633617663, 35.7224631866), (139.5639117674, 35.7226031866), (139.5642717685, 35.7226931875), (139.5648717695, 35.7228431875), (139.5650817696, 35.7229131875), (139.5653317706, 35.7230731875)]","[139.561124752, 139.561191762, 139.561321763, 139.561491763, 139.5624317652, 139.5633617663, 139.5639117674, 139.5642717685, 139.5648717695, 139.5650817696, 139.5653317706]","[35.7219858528, 35.7220131858, 35.7220431858, 35.7220731858, 35.7222431867, 35.7224631866, 35.7226031866, 35.7226931875, 35.7228431875, 35.7229131875, 35.7230731875]"
ëÊÇRéüãŸã}óAëóìπòH,4,êôï¿Ç†Ç´ÇÈñÏê¸,52,6,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.5574653365, 35.7217851212), (139.5575768737, 35.7228137762), (139.5576272458, 35.7234944383), (139.557717642, 35.7246569103)]","[139.5574653365, 139.5575768737, 139.5576272458, 139.557717642]","[35.7217851212, 35.7228137762, 35.7234944383, 35.7246569103]"
ëÊÇRéüãŸã}óAëóìπòH,4,êÁë„ìcó˚înìcñ≥ê¸,53,3,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.5693395267, 35.7339604659), (139.5692018377, 35.7339231739), (139.5683218356, 35.733713174), (139.5674418334, 35.733513174), (139.5660318302, 35.7332031742), (139.564471827, 35.7327931733), (139.5638918249, 35.7326131733), (139.5624918217, 35.7321831734), (139.5619562136, 35.7320344155)]","[139.5693395267, 139.5692018377, 139.5683218356, 139.5674418334, 139.5660318302, 139.564471827, 139.5638918249, 139.5624918217, 139.5619562136]","[35.7339604659, 35.7339231739, 35.733713174, 35.733513174, 35.7332031742, 35.7327931733, 35.7326131733, 35.7321831734, 35.7320344155]"
ëÊÇRéüãŸã}óAëóìπòH,4,ó˚înèäëÚê¸,65,5,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.5605041731, 35.7571469375), (139.5660060098, 35.757298298)]","[139.5605041731, 139.5660060098]","[35.7571469375, 35.757298298]"
ëÊÇQéüãŸã}óAëóìπòH,6,ìåëÂêÚìcñ≥ê¸,156,1,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.5688508647, 35.747773056), (139.5686319237, 35.747753152), (139.5684519237, 35.747733152), (139.5682419226, 35.747703152), (139.5680119226, 35.7476931521), (139.5677619216, 35.7476731521), (139.5676119216, 35.7476631521), (139.5674419215, 35.7476531521), (139.5665719194, 35.7475931522), (139.5663919194, 35.7475831522), (139.5658419183, 35.7475231523), (139.5655619173, 35.7474931523), (139.5653919173, 35.7474631523), (139.5651819162, 35.7474231523), (139.5640219131, 35.7471831534), (139.563851913, 35.7471531534), (139.563721912, 35.7470831534), (139.563701911, 35.7469631534), (139.5636919079, 35.7464431544), (139.5636819069, 35.7463231544), (139.5624019017, 35.7457231555), (139.5621319006, 35.7456031555), (139.5615618975, 35.7453231565), (139.5612718954, 35.7451031565), (139.5607518923, 35.7446231575), (139.5605118892, 35.7443131575), (139.5603418882, 35.7441631586), (139.559531882, 35.7433631596), (139.5592018799, 35.7430231596), (139.5587518758, 35.7425731606), (139.5583218727, 35.7421631616), (139.5576818675, 35.7414931626), (139.5568718623, 35.7406831636), (139.5560418561, 35.7398731647), (139.555751854, 35.7395731647), (139.5547218467, 35.7385631657), (139.5541518426, 35.7379631667), (139.5535218374, 35.7373231667), (139.5527418322, 35.7365131677), (139.5517818249, 35.7355231687), (139.5512518208, 35.7349831698), (139.5504818156, 35.7342131698), (139.5500618125, 35.7337531708), (139.5486518031, 35.7323131728), (139.5479252369, 35.7316112888), (139.5475773978, 35.7312405908), (139.5470064596, 35.7306529019), (139.5466006115, 35.7302370509), (139.5457617823, 35.7293131769)]","[139.5688508647, 139.5686319237, 139.5684519237, 139.5682419226, 139.5680119226, 139.5677619216, 139.5676119216, 139.5674419215, 139.5665719194, 139.5663919194, 139.5658419183, 139.5655619173, 139.5653919173, 139.5651819162, 139.5640219131, 139.563851913, 139.563721912, 139.563701911, 139.5636919079, 139.5636819069, 139.5624019017, 139.5621319006, 139.5615618975, 139.5612718954, 139.5607518923, 139.5605118892, 139.5603418882, 139.559531882, 139.5592018799, 139.5587518758, 139.5583218727, 139.5576818675, 139.5568718623, 139.5560418561, 139.555751854, 139.5547218467, 139.5541518426, 139.5535218374, 139.5527418322, 139.5517818249, 139.5512518208, 139.5504818156, 139.5500618125, 139.5486518031, 139.5479252369, 139.5475773978, 139.5470064596, 139.5466006115, 139.5457617823]","[35.747773056, 35.747753152, 35.747733152, 35.747703152, 35.7476931521, 35.7476731521, 35.7476631521, 35.7476531521, 35.7475931522, 35.7475831522, 35.7475231523, 35.7474931523, 35.7474631523, 35.7474231523, 35.7471831534, 35.7471531534, 35.7470831534, 35.7469631534, 35.7464431544, 35.7463231544, 35.7457231555, 35.7456031555, 35.7453231565, 35.7451031565, 35.7446231575, 35.7443131575, 35.7441631586, 35.7433631596, 35.7430231596, 35.7425731606, 35.7421631616, 35.7414931626, 35.7406831636, 35.7398731647, 35.7395731647, 35.7385631657, 35.7379631667, 35.7373231667, 35.7365131677, 35.7355231687, 35.7349831698, 35.7342131698, 35.7337531708, 35.7323131728, 35.7316112888, 35.7312405908, 35.7306529019, 35.7302370509, 35.7293131769]"
ëÊÇRéüãŸã}óAëóìπòH,6,ìåëÂêÚìcñ≥ê¸,156,2,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.557717642, 35.7246569103), (139.5578359372, 35.7258738204), (139.5578431413, 35.7268346675), (139.5578539436, 35.7283925596), (139.5576920428, 35.7303905348), (139.5575206241, 35.7320551069), (139.5572926623, 35.7340036101), (139.5569580338, 35.7375638744), (139.557012018, 35.7387300915), (139.5572171412, 35.7399535185), (139.5574330254, 35.7412341566), (139.5579404579, 35.7441034878), (139.5587075265, 35.747777074), (139.559126986, 35.7506110302), (139.5598609856, 35.7541255813), (139.5602558429, 35.7558972304)]","[139.557717642, 139.5578359372, 139.5578431413, 139.5578539436, 139.5576920428, 139.5575206241, 139.5572926623, 139.5569580338, 139.557012018, 139.5572171412, 139.5574330254, 139.5579404579, 139.5587075265, 139.559126986, 139.5598609856, 139.5602558429]","[35.7246569103, 35.7258738204, 35.7268346675, 35.7283925596, 35.7303905348, 35.7320551069, 35.7340036101, 35.7375638744, 35.7387300915, 35.7399535185, 35.7412341566, 35.7441034878, 35.747777074, 35.7506110302, 35.7541255813, 35.7558972304]"
ëÊÇRéüãŸã}óAëóìπòH,6,ìåëÂêÚìcñ≥ê¸,156,3,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.5602558429, 35.7558972304), (139.5605041731, 35.7571469375), (139.5609482725, 35.7593818436)]","[139.5602558429, 139.5605041731, 139.5609482725]","[35.7558972304, 35.7571469375, 35.7593818436]"
ëÊÇPéüãŸã}óAëóìπòH,6,êôï¿ìcñ≥ê¸,158,1,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.5414817882, 35.7318031755), (139.5424355403, 35.7317973504), (139.5432596234, 35.7317250363), (139.5442102545, 35.7315464652), (139.5445748275, 35.7314708552), (139.5449256435, 35.7314227401), (139.5455344126, 35.7313849361), (139.5465215127, 35.731460545), (139.5475498848, 35.7315773949), (139.5479252369, 35.7316112888), (139.548812135, 35.7316908078), (139.5507932143, 35.7318695206), (139.5522859014, 35.7319416934), (139.5536203776, 35.7320035553), (139.5547209757, 35.7320551072), (139.5575206241, 35.7320551069), (139.5582704072, 35.7320551078), (139.5588757362, 35.7320447968), (139.5593018163, 35.7320331737), (139.5612592195, 35.7320447975), (139.5619562136, 35.7320344155), (139.5625455446, 35.7320173034), (139.5634122647, 35.7319623153), (139.5643718208, 35.7318631752), (139.565971822, 35.7317431761), (139.5676818222, 35.7315931769), (139.5681670272, 35.7315608308)]","[139.5414817882, 139.5424355403, 139.5432596234, 139.5442102545, 139.5445748275, 139.5449256435, 139.5455344126, 139.5465215127, 139.5475498848, 139.5479252369, 139.548812135, 139.5507932143, 139.5522859014, 139.5536203776, 139.5547209757, 139.5575206241, 139.5582704072, 139.5588757362, 139.5593018163, 139.5612592195, 139.5619562136, 139.5625455446, 139.5634122647, 139.5643718208, 139.565971822, 139.5676818222, 139.5681670272]","[35.7318031755, 35.7317973504, 35.7317250363, 35.7315464652, 35.7314708552, 35.7314227401, 35.7313849361, 35.731460545, 35.7315773949, 35.7316112888, 35.7316908078, 35.7318695206, 35.7319416934, 35.7320035553, 35.7320551072, 35.7320551069, 35.7320551078, 35.7320447968, 35.7320331737, 35.7320447975, 35.7320344155, 35.7320173034, 35.7319623153, 35.7318631752, 35.7317431761, 35.7315931769, 35.7315608308]"
ëÊÇRéüãŸã}óAëóìπòH,7,êºìåãû123,445,1,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.5358217713, 35.7305131789), (139.5356917693, 35.7302231789), (139.5355017672, 35.7298631799), (139.535061762, 35.7290631809), (139.535021761, 35.7289731809), (139.535011761, 35.7289431809), (139.53493176, 35.7288631809), (139.53489176, 35.7288031809), (139.5346317579, 35.7285631809), (139.5341617548, 35.7282031819), (139.5339717538, 35.7280531819), (139.5333417496, 35.727473183), (139.5330817475, 35.727203184), (139.5328117455, 35.726983184), (139.5327717455, 35.726943184), (139.5321517413, 35.726403185), (139.5315417371, 35.725853186), (139.531031733, 35.725413187), (139.5305717299, 35.725003188), (139.5303917289, 35.7248431881), (139.5299617257, 35.7243731891), (139.5294417216, 35.7237331901), (139.5292917205, 35.7235331901), (139.5287617164, 35.7228631911), (139.5284917143, 35.7225231911), (139.5284517143, 35.7224431911), (139.5284217133, 35.7223631921), (139.5282417081, 35.721253193), (139.528161705, 35.720723193), (139.528141705, 35.720523193), (139.5281617029, 35.7201131939), (139.5281317019, 35.7199531939), (139.5280717009, 35.7198231939), (139.5278016977, 35.7191331949)]","[139.5358217713, 139.5356917693, 139.5355017672, 139.535061762, 139.535021761, 139.535011761, 139.53493176, 139.53489176, 139.5346317579, 139.5341617548, 139.5339717538, 139.5333417496, 139.5330817475, 139.5328117455, 139.5327717455, 139.5321517413, 139.5315417371, 139.531031733, 139.5305717299, 139.5303917289, 139.5299617257, 139.5294417216, 139.5292917205, 139.5287617164, 139.5284917143, 139.5284517143, 139.5284217133, 139.5282417081, 139.528161705, 139.528141705, 139.5281617029, 139.5281317019, 139.5280717009, 139.5278016977]","[35.7305131789, 35.7302231789, 35.7298631799, 35.7290631809, 35.7289731809, 35.7289431809, 35.7288631809, 35.7288031809, 35.7285631809, 35.7282031819, 35.7280531819, 35.727473183, 35.727203184, 35.726983184, 35.726943184, 35.726403185, 35.725853186, 35.725413187, 35.725003188, 35.7248431881, 35.7243731891, 35.7237331901, 35.7235331901, 35.7228631911, 35.7225231911, 35.7224431911, 35.7223631921, 35.721253193, 35.720723193, 35.720523193, 35.7201131939, 35.7199531939, 35.7198231939, 35.7191331949]"
ëÊÇQéüãŸã}óAëóìπòH,7,220,517,1,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.5412030484, 35.7265048201), (139.5403894653, 35.7266459342), (139.5398073322, 35.7266779033), (139.5390266351, 35.7266235293), (139.5385734861, 35.7265747234), (139.538161529, 35.7264592404), (139.5371658318, 35.7260203655)]","[139.5412030484, 139.5403894653, 139.5398073322, 139.5390266351, 139.5385734861, 139.538161529, 139.5371658318]","[35.7265048201, 35.7266459342, 35.7266779033, 35.7266235293, 35.7265747234, 35.7264592404, 35.7260203655]"
ëÊÇQéüãŸã}óAëóìπòH,9,-,586,1,ìåãûìsãŸã}óAëóìπòHÉlÉbÉgÉèÅ[ÉNåvâÊê},2019,13229,"[(139.5415461588, 35.7291895523), (139.5409837025, 35.7277038702), (139.5410858774, 35.7269552742), (139.5412030484, 35.7265048201)]","[139.5415461588, 139.5409837025, 139.5410858774, 139.5412030484]","[35.7291895523, 35.7277038702, 35.7269552742, 35.7265048201]"
