高さ,行政区域,名称,住所,施設の種類,収容人数,施設規模,対象とする災害の分類,レベル,lon,lat
21.4,13229,けやき小学校,東京都西東京市芝久保町5-7-1,避難所,1399,,指定なし,1,139.5260354,35.73430198
5.4,13229,けやき保育園,東京都西東京市西原町4-5-96,二次避難所,,,指定なし,1,139.5301204,35.73658598
20.6,13229,コール田無,東京都西東京市田無町3-7-2,避難所,343,,指定なし,1,139.5437534,35.72925098
17.1,13229,こまどり保育園,東京都西東京市下保谷2-14-18,二次避難所,,,指定なし,1,139.5588125,35.75219595
7.3,13229,しもほうや保育園,東京都西東京市下保谷3-8-15,二次避難所,,,指定なし,1,139.5665336,35.75480694
8,13229,すみよし保育園,東京都西東京市住吉町3-14-14,二次避難所,,,指定なし,1,139.5493135,35.74969595
16.8,13229,そよかぜ保育園,東京都西東京市ひばりが丘3-1-25,二次避難所,,,指定なし,4,139.5370068,35.74615218
8,13229,なかまち保育園,東京都西東京市中町4-4-16,二次避難所,,,指定なし,1,139.5643675,35.73719797
8.3,13229,はこべら保育園,東京都西東京市富士町1-7-2,二次避難所,,,指定なし,1,139.5603124,35.73389298
11.4,13229,ひがしふしみ保育園,東京都西東京市東伏見2-11-11,二次避難所,,,指定なし,1,139.5601744,35.72753199
7.5,13229,ひがし保育園,東京都西東京市東町2-4-13,二次避難所,,,指定なし,1,139.5605625,35.74633596
14.6,13229,ひばりが丘公民館,東京都西東京市ひばりが丘2-3-4,避難所,181,,指定なし,1,139.5406175,35.74740196
15.8,13229,ひばりが丘中学校,東京都西東京市住吉町1-14-28,避難所,1208,,指定なし,1,139.5483836,35.74287627
9.4,13229,ひばりが丘福祉会館,東京都西東京市ひばりが丘2-8-27,二次避難所,,,指定なし,1,139.5377835,35.74853796
14.8,13229,ひばりが丘保育園,東京都西東京市ひばりが丘2-3-5,二次避難所,,,指定なし,1,139.5403975,35.74714096
11,13229,ほうやちょう保育園,東京都西東京市保谷町3-13-1,二次避難所,,,指定なし,1,139.5531744,35.72958698
9,13229,みどり保育園,東京都西東京市緑町2-15-12,二次避難所,,,指定なし,1,139.5358424,35.74208597
7.8,13229,やぎさわ保育園,東京都西東京市柳沢5-8-2,二次避難所,,,指定なし,1,139.5510084,35.72211599
17.9,13229,栄小学校,東京都西東京市栄町2-10-9,避難所,1098,,指定なし,1,139.5529245,35.75208495
10,13229,下保谷福祉会館,東京都西東京市下保谷4-3-18,二次避難所,,,指定なし,1,139.5650965,35.75043295
11,13229,向台小学校,東京都西東京市向台町2-1-1,避難所,1221,,指定なし,1,139.5396203,35.72233799
3.8,13229,向台保育園,東京都西東京市南町3-23-1,二次避難所,,,指定なし,1,139.5420094,35.72561499
21.9,13229,市民会館,東京都西東京市田無町4-15-11,避難所,610,,指定なし,1,139.5344354,35.72806499
16.5,13229,市民総合体育館,東京都西東京市向台町5-4-20,避難所,976,,指定なし,1,139.5299663,35.720033
18,13229,芝久保公民館,東京都西東京市芝久保町5-4-48,避難所,196,,指定なし,1,139.5280744,35.73267299
15.8,13229,芝久保小学校,東京都西東京市芝久保町3-7-1,避難所,956,,指定なし,1,139.5228623,35.72874699
10.8,13229,芝久保保育園,東京都西東京市芝久保町1-14-32,二次避難所,,,指定なし,1,139.5263993,35.72461499
13.3,13229,社会福祉法人健光園,東京都西東京市田無町5-5-19,二次避難所,,,指定なし,1,139.5366484,35.73178098
18.2,13229,住吉会館（ルピナス）,東京都西東京市住吉町6-1-25,二次避難所,,,指定なし,3,139.5514189,35.74444367
15.1,13229,住吉小学校,東京都西東京市住吉町5-2-1,避難所,929,,指定なし,1,139.5531745,35.74591896
14.7,13229,上向台小学校,東京都西東京市向台町6-7-28,避難所,1536,,指定なし,1,139.5258993,35.720727
9.2,13229,新町福祉会館,東京都西東京市新町5-2-7,二次避難所,,,指定なし,1,139.5363263,35.71289399
9,13229,西原保育園,東京都西東京市芝久保町5-4-2,二次避難所,,,指定なし,1,139.5272044,35.73353099
26.2,13229,青嵐中学校,東京都西東京市北町2-13-17,避難所,1905,,指定なし,1,139.5563989,35.75648267
9.3,13229,泉小学校,東京都西東京市泉町3-6-8,避難所,814,,指定なし,1,139.5531465,35.74139197
9.8,13229,谷戸公民館,東京都西東京市谷戸町1-17-2,避難所,182,,指定なし,1,139.5437054,35.74148297
10.3,13229,谷戸高齢者在宅サービスセンター,東京都西東京市谷戸町3-23-8,二次避難所,,,指定なし,3,139.5437695,35.74888496
11.4,13229,谷戸小学校,東京都西東京市緑町3-1-1,避難所,1162,,指定なし,1,139.5426691,35.74031331
16.2,13229,谷戸第二小学校,東京都西東京市谷戸町1-17-27,避難所,1087,,指定なし,1,139.5452024,35.74147497
18.3,13229,中原小学校,東京都西東京市ひばりが丘2-6-25,避難所,1322,,指定なし,1,139.5377091,35.74703888
15.5,13229,田無公民館,東京都西東京市南町5-6-11,避難所,250,,指定なし,4,139.53754,35.72594516
14.9,13229,田無小学校,東京都西東京市田無町4-5-21,避難所,1251,,指定なし,1,139.5379635,35.72872749
22.1,13229,田無総合福祉センター,東京都西東京市田無町5-5-12,二次避難所,,,指定なし,1,139.5362124,35.73180898
15.6,13229,田無第一中学校,東京都西東京市南町6-9-37,避難所,1270,,指定なし,1,139.5317323,35.72450399
15.4,13229,田無第三中学校,東京都西東京市西原町3-4-1,避難所,988,,指定なし,1,139.5310934,35.73480898
16.6,13229,田無第四中学校,東京都西東京市向台町2-14-9,避難所,1399,,指定なし,1,139.5404263,35.71972699
16.2,13229,田無第二中学校,東京都西東京市北原町2-9-1,避難所,970,,指定なし,1,139.5451741,35.73841661
9.5,13229,田無保育園,東京都西東京市緑町1-2-26,二次避難所,,,指定なし,1,139.5402034,35.73394798
20.1,13229,東京都立田無工業高等学校,東京都西東京市向台町1-9-1,避難所,920,,指定なし,1,139.5488729,35.72039268
14.9,13229,東京都立田無高等学校,東京都西東京市向台町5-4-32,避難所,995,,指定なし,1,139.5287053,35.720505
13.7,13229,東京都立田無特別支援学校,東京都西東京市南町5-15-5,二次避難所,,,指定なし,1,139.5343153,35.72336599
17.9,13229,東京都立保谷高等学校,東京都西東京市住吉町5-8-23,避難所,1023,,指定なし,1,139.5553965,35.74608596
14.2,13229,東小学校,東京都西東京市東町6-2-33,避難所,879,,指定なし,1,139.5641735,35.74178097
12.5,13229,東伏見小学校,東京都西東京市東伏見6-1-28,避難所,1018,,指定なし,1,139.5592574,35.72594899
17.4,13229,日本文華学園,東京都西東京市西原町4-5-85,避難所,168,,指定なし,3,139.530217,35.73820699
9.1,13229,富士町福祉会館,東京都西東京市富士町6-6-13,二次避難所,,,指定なし,1,139.5569024,35.73006598
17.6,13229,武蔵野女子学院,東京都西東京市新町1-1-20,避難所,1596,,指定なし,1,139.5469533,35.71831099
15.8,13229,碧山小学校,東京都西東京市中町5-11-4,避難所,1102,,指定なし,1,139.5630345,35.73833697
27.5,13229,保谷駅前公民館,東京都西東京市東町3-14-30,避難所,84,,指定なし,1,139.5674645,35.74787882
12.3,13229,保谷小学校,東京都西東京市保谷町1-3-35,避難所,952,,指定なし,1,139.554795,35.7372988
4.9,13229,保谷障害者福祉センター,東京都西東京市保谷町1-6-20,二次避難所,,,指定なし,1,139.5563264,35.73459798
11.9,13229,保谷第一小学校,東京都西東京市下保谷1-4-4,避難所,877,,指定なし,1,139.5580065,35.74989095
16.6,13229,保谷第二小学校,東京都西東京市柳沢4-2-11,避難所,1134,,指定なし,1,139.5505644,35.72028299
14.9,13229,保谷中学校,東京都西東京市保谷町1-17-4,避難所,1758,,指定なし,1,139.5566484,35.73356498
14.6,13229,本町小学校,東京都西東京市保谷町1-14-23,避難所,945,,指定なし,1,139.5557215,35.7327566
15.7,13229,明保中学校,東京都西東京市東町1-1-24,避難所,1201,,指定なし,1,139.5626735,35.74283597
6.6,13229,柳沢公民館,東京都西東京市柳沢1-15-1,避難所,243,,指定なし,1,139.5539524,35.72833798
13.7,13229,柳沢小学校,東京都西東京市南町2-12-37,避難所,924,,指定なし,1,139.5477864,35.72203299
15.9,13229,柳沢中学校,東京都西東京市柳沢3-8-22,避難所,1064,,指定なし,1,139.5525364,35.72056099
12,13229,老人憩いの家「おあしす」,東京都西東京市南町3-18-40,二次避難所,,,指定なし,1,139.5427233,35.72249699
